"Domiciliary Origin of Students Enrolled in Full-time Third Level"
"Institutions (Number) by Type of Institution, Domiciliary Origin and"
"Year"

" "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
" ","Belgium",50,54,47,46,52,51,49,48,..,..,..,..,..,..,..,..,..,..
" ","Bulgaria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Canada",96,118,153,186,226,242,277,319,..,..,..,..,..,..,..,..,..,..
" ","Cyprus",..,..,..,..,..,7,7,12,..,..,..,..,..,..,..,..,..,..
" ","Czech Republic",..,..,..,..,..,16,18,20,..,..,..,..,..,..,..,..,..,..
" ","Germany",252,236,234,282,314,401,442,431,..,..,..,..,..,..,..,..,..,..
" ","Denmark",17,17,10,14,10,22,20,19,..,..,..,..,..,..,..,..,..,..
" ","Estonia",..,..,..,..,..,4,3,6,..,..,..,..,..,..,..,..,..,..
" ","Spain",105,101,115,123,116,130,162,173,..,..,..,..,..,..,..,..,..,..
" ","Finland",23,34,37,45,34,31,28,27,..,..,..,..,..,..,..,..,..,..
" ","France",172,166,194,216,230,338,372,323,..,..,..,..,..,..,..,..,..,..
" ","United Kingdom",1560,1645,1616,1707,1775,1846,1683,1784,..,..,..,..,..,..,..,..,..,..
" ","Greece",27,31,34,45,41,45,46,47,..,..,..,..,..,..,..,..,..,..
" ","Croatia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Hungary",..,..,..,..,..,12,9,19,..,..,..,..,..,..,..,..,..,..
" ","Ireland",61751,63497,66495,68410,70389,70803,72720,73470,..,..,..,..,..,..,..,..,..,..
" ","Italy",99,92,93,104,103,146,167,189,..,..,..,..,..,..,..,..,..,..
" ","Lithuania",..,..,..,..,..,9,6,18,..,..,..,..,..,..,..,..,..,..
" ","Luxembourg",17,16,9,8,8,8,9,13,..,..,..,..,..,..,..,..,..,..
" ","Latvia",..,..,..,..,..,9,9,9,..,..,..,..,..,..,..,..,..,..
" ","Malta",..,..,..,..,..,6,2,4,..,..,..,..,..,..,..,..,..,..
" ","Netherlands",22,16,27,32,46,56,49,50,..,..,..,..,..,..,..,..,..,..
" ","Poland",..,..,..,..,..,69,86,129,..,..,..,..,..,..,..,..,..,..
" ","Portugal",10,14,8,14,19,14,14,16,..,..,..,..,..,..,..,..,..,..
" ","Romania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Sweden",37,43,38,36,31,46,48,43,..,..,..,..,..,..,..,..,..,..
" ","Slovenia",..,..,..,..,..,2,6,5,..,..,..,..,..,..,..,..,..,..
