"Domiciliary Origin of Students Enrolled in Full-time Third Level"
"Institutions (Number) by Type of Institution, Domiciliary Origin and"
"Year"

" "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
" ","Other Europe (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Teacher training home economics"
" ","All countries",390,362,379,398,391,414,487,469,..,..,..,..,..,..,..,..,..,..
" ","Origin unknown",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Austria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Belgium",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Bulgaria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Canada",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Cyprus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Czech Republic",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Germany",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Denmark",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Estonia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Spain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Finland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","France",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","United Kingdom",..,2,2,2,2,5,10,5,..,..,..,..,..,..,..,..,..,..
" ","Greece",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Croatia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Hungary",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Ireland",388,358,377,396,389,409,474,462,..,..,..,..,..,..,..,..,..,..
" ","Italy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Lithuania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Luxembourg",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Latvia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Malta",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Netherlands",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Poland",..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..
" ","Portugal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Romania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Sweden",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Slovenia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Slovakia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","United States",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Great Britain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Northern Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Africa (1)",2,2,..,..,..,..,2,2,..,..,..,..,..,..,..,..,..,..
" ","Asia (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Australasia (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","America (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Other America (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","EU 27",388,360,379,398,391,414,485,467,..,..,..,..,..,..,..,..,..,..
" ","Other Europe (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Other third level education institutions aided by the Department of Education and Skills (1)"
" ","All countries",1434,1417,1508,1696,1640,1402,1340,1326,..,..,..,..,..,..,..,..,..,..
" ","Origin unknown",31,..,..,..,16,230,260,311,..,..,..,..,..,..,..,..,..,..
" ","Austria",..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Belgium",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Bulgaria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Canada",..,..,..,2,2,2,2,1,..,..,..,..,..,..,..,..,..,..
" ","Cyprus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Czech Republic",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Germany",..,5,..,1,..,..,1,1,..,..,..,..,..,..,..,..,..,..
" ","Denmark",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Estonia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Spain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Finland",..,..,1,1,1,1,..,..,..,..,..,..,..,..,..,..,..,..
" ","France",..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","United Kingdom",30,33,41,39,35,25,27,28,..,..,..,..,..,..,..,..,..,..
" ","Greece",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Croatia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Hungary",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Ireland",1369,1369,1441,1622,1560,1109,1006,945,..,..,..,..,..,..,..,..,..,..
" ","Italy",..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Lithuania",..,..,..,..,..,1,1,1,..,..,..,..,..,..,..,..,..,..
" ","Luxembourg",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Latvia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Malta",..,..,..,..,..,1,1,1,..,..,..,..,..,..,..,..,..,..
" ","Netherlands",..,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Poland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Portugal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Romania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Sweden",1,1,1,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Slovenia",..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..
" ","Slovakia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","United States",1,1,2,2,1,..,..,1,..,..,..,..,..,..,..,..,..,..
" ","Great Britain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Northern Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Africa (1)",1,5,9,13,11,18,18,16,..,..,..,..,..,..,..,..,..,..
" ","Asia (1)",1,..,5,12,11,11,16,15,..,..,..,..,..,..,..,..,..,..
" ","Australasia (1)",..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..
" ","America (1)",..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Other America (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","EU 27",1400,1410,1487,1664,1597,1137,1036,977,..,..,..,..,..,..,..,..,..,..
" ","Other Europe (1)",..,1,4,3,2,4,8,4,..,..,..,..,..,..,..,..,..,..
"Other third level education institutions aided by the Department of Education and Skills (2)"
" ","All countries",..,..,..,..,..,..,..,..,2215,2326,2699,2798,2838,3029,3038,3252,3458,3234
" ","Origin unknown",..,..,..,..,..,..,..,..,15,..,2,..,30,180,4,7,10,11
" ","Austria",..,..,..,..,..,..,..,..,..,..,1,..,..,..,1,1,1,..
" ","Belgium",..,..,..,..,..,..,..,..,..,..,..,..,2,3,1,3,1,..
" ","Bulgaria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Canada",..,..,..,..,..,..,..,..,1,..,3,2,1,1,..,1,5,4
" ","Cyprus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
" ","Czech Republic",..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..
" ","Germany",..,..,..,..,..,..,..,..,4,..,1,2,3,2,3,4,8,4
" ","Denmark",..,..,..,..,..,..,..,..,..,..,..,..,3,1,1,1,..,..
" ","Estonia",..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,4,..,..
" ","Spain",..,..,..,..,..,..,..,..,1,..,2,2,3,2,..,..,1,3
" ","Finland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,1
" ","France",..,..,..,..,..,..,..,..,3,..,..,1,1,1,..,3,4,22
" ","United Kingdom",..,..,..,..,..,..,..,..,52,16,49,36,74,26,27,43,50,60
" ","Greece",..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,1,1,..
" ","Croatia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
" ","Hungary",..,..,..,..,..,..,..,..,..,..,1,..,..,1,1,1,2,4
" ","Ireland",..,..,..,..,..,..,..,..,2111,2307,2563,2708,2556,2641,2810,2948,3060,2528
" ","Italy",..,..,..,..,..,..,..,..,..,..,..,..,2,..,3,0,2,2
" ","Lithuania",..,..,..,..,..,..,..,..,1,..,1,..,16,3,2,4,2,12
" ","Luxembourg",..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,1,1,15
" ","Latvia",..,..,..,..,..,..,..,..,1,..,..,1,1,..,..,1,2,3
" ","Malta",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Netherlands",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1
" ","Poland",..,..,..,..,..,..,..,..,1,1,3,4,7,4,5,11,7,7
" ","Portugal",..,..,..,..,..,..,..,..,1,..,1,1,1,1,1,..,..,2
" ","Romania",..,..,..,..,..,..,..,..,1,..,..,..,9,1,1,2,3,12
" ","Sweden",..,..,..,..,..,..,..,..,1,..,1,1,3,2,2,1,1,1
" ","Slovenia",..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..
" ","Slovakia",..,..,..,..,..,..,..,..,..,..,..,..,1,1,1,1,2,3
" ","United States",..,..,..,..,..,..,..,..,3,1,5,7,10,2,1,1,12,24
" ","Great Britain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Northern Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Africa (1)",..,..,..,..,..,..,..,..,7,..,32,14,37,19,9,20,25,42
" ","Asia (1)",..,..,..,..,..,..,..,..,9,..,25,12,72,129,138,168,241,438
" ","Australasia (1)",..,..,..,..,..,..,..,..,..,1,1,4,..,..,..,..,1,3
" ","America (1)",..,..,..,..,..,..,..,..,..,..,4,1,..,3,23,23,11,23
" ","Other America (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","EU 27",..,..,..,..,..,..,..,..,2179,2324,2624,2756,2683,2691,2861,3031,3150,2682
" ","Other Europe (1)",..,..,..,..,..,..,..,..,1,..,3,2,5,4,2,1,3,7
"Third level education institutions aided by other Departments (Justice/Defence)"
" ","All countries",1210,1192,964,1141,1382,1319,1432,2066,2508,2129,973,193,58,58,58,26,..,45
" ","Origin unknown",..,..,..,..,..,..,..,..,8,..,..,..,..,..,..,..,..,..
" ","Austria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Belgium",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Bulgaria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Canada",..,..,..,..,..,..,..,..,4,2,..,..,..,..,..,..,..,..
" ","Cyprus",..,..,..,..,..,..,..,..,..,..,3,..,..,..,..,..,..,..
" ","Czech Republic",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Germany",..,..,..,..,..,..,..,..,..,1,..,1,..,..,..,..,..,..
" ","Denmark",..,..,..,..,..,..,..,..,1,1,..,..,..,..,..,..,..,..
" ","Estonia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Spain",..,..,..,..,..,..,..,..,1,2,..,..,..,..,..,..,..,..
" ","Finland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","France",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","United Kingdom",3,5,5,6,3,..,5,6,57,70,8,9,2,2,..,3,..,..
" ","Greece",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Croatia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Hungary",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Ireland",1207,1187,959,1135,1379,1319,1427,2060,2426,2009,962,178,53,56,58,17,..,45
" ","Italy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Lithuania",..,..,..,..,..,..,..,..,1,1,..,..,..,..,..,..,..,..
" ","Luxembourg",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Latvia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Malta",..,..,..,..,..,..,..,..,..,..,..,3,3,..,..,6,..,..
" ","Netherlands",..,..,..,..,..,..,..,..,1,1,..,..,..,..,..,..,..,..
" ","Poland",..,..,..,..,..,..,..,..,2,8,..,1,..,..,..,..,..,..
" ","Portugal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Romania",..,..,..,..,..,..,..,..,2,2,..,..,..,..,..,..,..,..
" ","Sweden",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Slovenia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Slovakia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","United States",..,..,..,..,..,..,..,..,5,8,..,..,..,..,..,..,..,..
" ","Great Britain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Northern Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Africa (1)",..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..
" ","Asia (1)",..,..,..,..,..,..,..,..,..,19,..,1,..,..,..,..,..,..
" ","Australasia (1)",..,..,..,..,..,..,..,..,..,3,..,..,..,..,..,..,..,..
" ","America (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Other America (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","EU 27",1210,1192,964,1141,1382,1319,1432,2066,2491,2095,973,192,58,58,58,26,..,45
" ","Other Europe (1)",..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..
"Non-aided third level education institutions"
" ","All countries",5489,5117,6259,6899,8002,8536,7136,9074,6357,2484,6900,7477,3448,3719,4150,8948,8328,8063
" ","Origin unknown",1757,1459,466,480,1051,289,72,1548,1031,1,3,1191,22,1,..,287,1099,98
" ","Austria",..,..,..,..,1,1,1,1,2,1,..,2,1,3,3,5,10,4
" ","Belgium",1,..,1,1,1,2,3,2,3,1,2,..,1,1,..,6,3,4
" ","Bulgaria",..,..,..,..,..,..,..,..,..,3,4,6,..,..,..,5,1,8
" ","Canada",37,57,58,79,96,112,134,160,175,2,124,96,85,281,304,302,323,326
" ","Cyprus",..,..,..,..,..,20,..,5,3,..,..,..,..,..,1,6,13,11
" ","Czech Republic",..,..,..,..,..,1,12,2,..,..,..,5,..,..,1,..,..,..
" ","Germany",7,10,12,9,6,19,10,16,12,12,17,45,6,5,10,133,62,126
" ","Denmark",2,1,3,1,1,1,2,..,..,1,1,7,..,..,..,1,1,1
" ","Estonia",..,..,..,..,..,..,3,5,6,6,1,1,..,..,..,3,1,2
" ","Spain",7,2,4,6,3,21,18,16,16,5,7,9,11,5,2,65,32,30
" ","Finland",..,..,..,1,1,1,..,1,1,1,2,2,..,..,..,1,2,4
" ","France",10,1,9,9,13,56,8,26,10,2,6,92,7,1,15,287,176,224
" ","United Kingdom",63,49,115,137,97,73,128,105,157,37,113,90,60,44,69,100,158,146
" ","Greece",..,3,2,1,1,4,1,1,..,..,..,..,..,..,..,5,..,3
" ","Croatia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..
" ","Hungary",..,..,..,..,..,2,..,..,..,..,1,1,1,..,..,3,3,5
" ","Ireland",2739,2404,3652,4178,4396,4815,3847,4250,3770,1999,5436,4469,2785,2198,2419,3876,4926,2907
" ","Italy",6,10,13,8,6,10,6,8,5,1,4,7,6,5,4,20,16,34
" ","Lithuania",..,..,..,..,..,5,3,1,..,2,5,8,2,4,5,24,11,11
" ","Luxembourg",..,..,..,..,3,1,3,..,..,..,..,..,..,..,..,0,2,1
" ","Latvia",..,..,..,..,..,8,8,9,4,2,6,7,..,..,1,11,4,4
" ","Malta",..,..,..,..,..,2,..,..,..,5,..,2,2,..,..,0,2,2
" ","Netherlands",1,..,3,7,1,1,3,2,1,2,1,3,..,1,1,3,2,4
" ","Poland",..,..,..,..,..,11,14,9,3,7,16,29,2,7,11,43,16,18
" ","Portugal",12,36,..,..,..,1,1,1,..,..,3,5,..,1,1,5,1,12
" ","Romania",..,..,..,..,..,..,..,..,..,13,7,12,..,1,1,35,15,19
" ","Sweden",4,9,7,6,6,17,7,34,22,..,2,13,1,..,..,39,17,29
" ","Slovenia",..,..,..,..,..,..,1,..,..,4,..,..,1,..,1,2,2,1
" ","Slovakia",..,..,..,..,..,4,3,3,..,5,2,5,..,..,..,1,1,6
" ","United States",118,157,126,130,118,114,161,160,164,37,113,86,74,99,100,102,104,111
" ","Great Britain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Northern Ireland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","Africa (1)",76,126,167,180,152,226,225,224,112,108,135,147,43,91,108,460,96,365
" ","Asia (1)",507,617,1413,1436,1833,2466,2195,2244,769,211,808,946,320,894,999,2500,1092,2519
" ","Australasia (1)",28,29,24,24,23,25,16,18,16,1,16,11,8,16,25,18,23,19
" ","America (1)",15,20,23,23,20,25,34,44,17,..,40,28,7,43,55,438,95,831
" ","Other America (1)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" ","EU 27",2852,2525,3821,4364,4536,5076,4082,4497,4015,2109,5636,4820,2886,2276,2545,4679,5478,3616
" ","Other Europe (1)",99,127,161,183,173,203,217,179,58,15,25,152,3,18,14,162,18,178

