Counties,Student_Origin,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Countries,Study_Mode,Institute
Dublin,Wexford,1353.0,1277.0,1295.0,1347.0,1414.0,1376.0,1385.0,1418.0,1485.0,1625.0,1788.0,1938.0,2001.0,1961.0,1989.0,1974.0,2034.0,2109.0,0,0,0
Dublin,Wicklow,2052.0,2100.0,2234.0,2235.0,2376.0,2906.0,2449.0,2572.0,2649.0,2752.0,3053.0,3238.0,3373.0,3419.0,3389.0,3450.0,3550.0,3578.0,0,0,0
Dublin,Clare,422.0,371.0,356.0,353.0,329.0,354.0,358.0,333.0,316.0,343.0,381.0,396.0,444.0,427.0,438.0,409.0,425.0,413.0,0,0,0
Dublin,Cork,1094.0,1054.0,1008.0,1062.0,1049.0,1004.0,996.0,977.0,1035.0,1077.0,1155.0,1188.0,1287.0,1263.0,1250.0,1256.0,1264.0,1287.0,0,0,0
Dublin,Kerry,660.0,582.0,554.0,559.0,575.0,539.0,521.0,468.0,464.0,482.0,494.0,506.0,526.0,531.0,609.0,611.0,609.0,568.0,0,0,0
Dublin,Limerick,640.0,619.0,589.0,564.0,544.0,513.0,467.0,433.0,417.0,468.0,506.0,514.0,546.0,556.0,574.0,583.0,566.0,579.0,0,0,0
Dublin,Tipperary,1002.0,984.0,920.0,856.0,867.0,786.0,789.0,751.0,715.0,728.0,777.0,778.0,808.0,888.0,906.0,914.0,910.0,845.0,0,0,0
Dublin,Waterford,610.0,566.0,531.0,588.0,548.0,533.0,484.0,489.0,483.0,477.0,530.0,560.0,586.0,593.0,656.0,666.0,706.0,667.0,0,0,0
Dublin,Galway,953.0,973.0,940.0,1013.0,1037.0,982.0,945.0,916.0,955.0,930.0,1016.0,1082.0,1166.0,1206.0,1147.0,1150.0,1169.0,1157.0,0,0,0
Dublin,Leitrim,223.0,265.0,270.0,281.0,268.0,339.0,257.0,249.0,263.0,290.0,310.0,334.0,335.0,274.0,313.0,339.0,369.0,369.0,0,0,0
Dublin,Mayo,1069.0,1130.0,1106.0,1064.0,1165.0,1061.0,1134.0,1072.0,1040.0,1028.0,1096.0,1082.0,1104.0,1088.0,1174.0,1121.0,1172.0,1133.0,0,0,0
Dublin,Roscommon,486.0,485.0,477.0,571.0,520.0,501.0,539.0,541.0,557.0,562.0,596.0,601.0,613.0,616.0,616.0,643.0,667.0,670.0,0,0,0
Dublin,Sligo,484.0,559.0,483.0,441.0,470.0,476.0,464.0,471.0,487.0,488.0,565.0,544.0,581.0,621.0,608.0,635.0,635.0,627.0,0,0,0
Dublin,Cavan,700.0,801.0,816.0,851.0,890.0,907.0,922.0,915.0,905.0,923.0,998.0,1002.0,1049.0,1103.0,1102.0,1067.0,1088.0,1071.0,0,0,0
Dublin,Donegal,776.0,838.0,824.0,873.0,996.0,759.0,909.0,908.0,971.0,979.0,1028.0,1064.0,1096.0,1099.0,1156.0,1169.0,1290.0,1289.0,0,0,0
Dublin,Monaghan,596.0,634.0,642.0,658.0,669.0,622.0,671.0,709.0,772.0,794.0,806.0,842.0,834.0,873.0,909.0,920.0,932.0,945.0,0,0,0
Dublin,Antrim,225.0,214.0,197.0,200.0,206.0,261.0,163.0,167.0,168.0,170.0,181.0,172.0,190.0,149.0,174.0,179.0,198.0,170.0,0,0,0
Dublin,Armagh,82.0,79.0,76.0,74.0,78.0,123.0,77.0,74.0,75.0,68.0,52.0,47.0,51.0,37.0,31.0,36.0,33.0,32.0,0,0,0
Dublin,Derry,128.0,111.0,118.0,122.0,141.0,141.0,125.0,117.0,97.0,77.0,80.0,66.0,86.0,63.0,49.0,45.0,47.0,37.0,0,0,0
Dublin,Down,260.0,248.0,269.0,254.0,264.0,216.0,193.0,185.0,178.0,168.0,188.0,165.0,176.0,139.0,128.0,123.0,139.0,141.0,0,0,0
Dublin,Fermanagh,88.0,78.0,74.0,74.0,71.0,60.0,53.0,50.0,53.0,51.0,58.0,50.0,48.0,30.0,34.0,35.0,38.0,34.0,0,0,0
Dublin,Tyrone,135.0,131.0,129.0,119.0,116.0,97.0,91.0,88.0,92.0,84.0,90.0,78.0,74.0,72.0,54.0,57.0,51.0,57.0,0,0,0
Dublin,Origin unknown,0.0,0.0,844.0,286.0,74.0,274.0,118.0,112.0,966.0,452.0,1357.0,1574.0,152.0,133.0,251.0,856.0,189.0,147.0,0,0,0
Kildare,All counties (2),4295.0,4458.0,4737.0,4892.0,5118.0,5270.0,5509.0,5514.0,5758.0,6234.0,6801.0,7270.0,7508.0,7667.0,7889.0,8517.0,9066.0,9325.0,0,0,0
Kildare,Carlow,75.0,82.0,98.0,106.0,109.0,111.0,110.0,105.0,84.0,82.0,108.0,124.0,125.0,124.0,128.0,132.0,156.0,169.0,0,0,0
Kildare,Dublin,1189.0,1180.0,1251.0,1288.0,1351.0,1381.0,1505.0,1575.0,1724.0,1850.0,1948.0,2088.0,2155.0,2062.0,2190.0,2378.0,2550.0,2577.0,0,0,0
Kildare,Kildare,611.0,705.0,815.0,922.0,1016.0,1006.0,1070.0,1087.0,1188.0,1346.0,1481.0,1551.0,1519.0,1435.0,1452.0,1545.0,1636.0,1674.0,0,0,0
Kildare,Kilkenny,90.0,99.0,108.0,104.0,114.0,117.0,120.0,104.0,98.0,109.0,121.0,128.0,144.0,143.0,139.0,158.0,169.0,209.0,0,0,0
Kildare,Laois,86.0,70.0,77.0,85.0,89.0,103.0,92.0,107.0,115.0,137.0,144.0,138.0,163.0,156.0,169.0,170.0,166.0,170.0,0,0,0
Kildare,Longford,81.0,85.0,69.0,65.0,75.0,98.0,98.0,98.0,77.0,74.0,78.0,75.0,82.0,81.0,88.0,89.0,97.0,107.0,0,0,0
Kildare,Louth,111.0,127.0,150.0,177.0,172.0,201.0,214.0,200.0,196.0,234.0,296.0,307.0,356.0,364.0,407.0,424.0,417.0,404.0,0,0,0
Kildare,Meath,251.0,284.0,322.0,328.0,399.0,445.0,486.0,463.0,505.0,594.0,702.0,810.0,842.0,859.0,927.0,1005.0,1110.0,1207.0,0,0,0
Kildare,Offaly,86.0,92.0,104.0,120.0,140.0,143.0,143.0,143.0,138.0,159.0,182.0,201.0,190.0,183.0,204.0,238.0,237.0,256.0,0,0,0
Kildare,Westmeath,126.0,139.0,153.0,157.0,169.0,184.0,221.0,207.0,206.0,227.0,264.0,280.0,272.0,292.0,310.0,345.0,372.0,355.0,0,0,0
Kildare,Wexford,125.0,124.0,135.0,144.0,136.0,143.0,155.0,137.0,147.0,158.0,177.0,181.0,203.0,201.0,210.0,261.0,304.0,314.0,0,0,0
Kildare,Wicklow,102.0,102.0,97.0,86.0,92.0,99.0,96.0,107.0,117.0,118.0,116.0,137.0,153.0,188.0,192.0,199.0,223.0,235.0,0,0,0
Kildare,Clare,65.0,125.0,56.0,52.0,50.0,49.0,37.0,23.0,26.0,20.0,18.0,20.0,26.0,27.0,33.0,33.0,34.0,37.0,0,0,0
Kildare,Cork,105.0,35.0,98.0,97.0,81.0,64.0,62.0,58.0,55.0,51.0,46.0,59.0,53.0,61.0,75.0,59.0,64.0,55.0,0,0,0
Kildare,Kerry,76.0,73.0,82.0,78.0,66.0,54.0,49.0,47.0,41.0,39.0,31.0,25.0,42.0,45.0,43.0,46.0,42.0,33.0,0,0,0
Kildare,Limerick,78.0,62.0,49.0,44.0,45.0,45.0,36.0,35.0,37.0,35.0,25.0,26.0,34.0,29.0,37.0,35.0,33.0,25.0,0,0,0
Kildare,Tipperary,110.0,117.0,114.0,109.0,110.0,101.0,82.0,73.0,59.0,57.0,51.0,70.0,66.0,62.0,69.0,79.0,102.0,95.0,0,0,0
Kildare,Waterford,52.0,48.0,41.0,44.0,44.0,42.0,42.0,36.0,35.0,27.0,24.0,32.0,37.0,50.0,63.0,70.0,79.0,87.0,0,0,0
Kildare,Galway,173.0,168.0,153.0,127.0,129.0,139.0,133.0,123.0,103.0,93.0,105.0,110.0,118.0,104.0,118.0,128.0,123.0,98.0,0,0,0
Kildare,Leitrim,51.0,55.0,55.0,61.0,64.0,59.0,59.0,64.0,54.0,75.0,81.0,84.0,68.0,71.0,73.0,76.0,70.0,88.0,0,0,0
