Study_Mode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Institute
Full-time Enrolments to Third Level Courses (Number),696,915,1120,1255,1355,1423,1471,1528,1581,1724,1973,2057,2104,2143,2082,2034,2016,2059,"Dun Laoghaire Institute of Art, Design and Technology"
Part-time Enrolments to Third Level Courses (Number),46,52,55,53,55,71,72,0,106,160,209,148,159,118,161,183,249,253,"Dun Laoghaire Institute of Art, Design and Technology"
Entrants to Third Level Courses (Number),341,424,486,476,444,418,486,525,509,505,666,560,569,550,529,521,560,543,"Dun Laoghaire Institute of Art, Design and Technology"
Full-time Enrolments to Third Level Courses (Number),223,478,626,856,1027,1096,1064,1070,1029,1239,1560,1921,2184,2439,2626,2583,2536,2514,"Institute of Technology, Blanchardstown"
Part-time Enrolments to Third Level Courses (Number),81,156,324,297,353,318,359,0,636,452,542,524,671,685,630,652,700,573,"Institute of Technology, Blanchardstown"
Entrants to Third Level Courses (Number),221,288,262,367,385,345,322,347,333,522,689,770,786,800,870,780,765,749,"Institute of Technology, Blanchardstown"
Full-time Enrolments to Third Level Courses (Number),162,184,269,354,386,378,379,338,286,332,481,671,0,0,0,0,0,0,Tipperary Institute
Part-time Enrolments to Third Level Courses (Number),13,222,258,224,87,78,37,0,441,385,229,344,0,0,0,0,0,0,Tipperary Institute
Entrants to Third Level Courses (Number),138,110,131,143,134,126,117,109,84,160,261,286,0,0,0,0,0,0,Tipperary Institute
Full-time Enrolments to Third Level Courses (Number),302,273,236,205,208,192,165,133,0,0,0,0,0,0,0,0,0,0,"Tourism College, Killybegs, Co. Donegal"
Part-time Enrolments to Third Level Courses (Number),73,67,59,49,51,52,86,0,0,0,0,0,0,0,0,0,0,0,"Tourism College, Killybegs, Co. Donegal"
Entrants to Third Level Courses (Number),199,169,163,167,153,142,92,49,0,0,0,0,0,0,0,0,0,0,"Tourism College, Killybegs, Co. Donegal"
Full-time Enrolments to Third Level Courses (Number),0,0,0,0,0,0,0,0,6761,6973,6732,6691,6428,6454,6703,6953,7029,5118,Teacher education colleges
Part-time Enrolments to Third Level Courses (Number),0,0,0,0,0,0,0,0,897,1356,1541,1484,1240,1375,1341,1422,1318,781,Teacher education colleges
Entrants to Third Level Courses (Number),0,0,0,0,0,0,0,0,1694,1880,1663,1656,1727,1657,1763,1751,1173,1245,Teacher education colleges
Full-time Enrolments to Third Level Courses (Number),0,0,0,2033,2012,1957,1990,2029,2135,2245,2064,1981,1969,1970,2065,2040,1852,0,"St. Patrick's Teacher Training College, Drumcondra, Dublin"
Part-time Enrolments to Third Level Courses (Number),0,0,0,171,185,234,184,269,400,526,606,613,566,431,409,343,318,0,"St. Patrick's Teacher Training College, Drumcondra, Dublin"
Entrants to Third Level Courses (Number),0,0,0,586,586,576,600,586,606,619,592,616,614,620,630,640,0,0,"St. Patrick's Teacher Training College, Drumcondra, Dublin"
Full-time Enrolments to Third Level Courses (Number),0,0,0,1983,2187,0,2571,2693,2814,2909,2864,2845,2850,2888,2873,3033,3518,3657,"Mary Immaculate College of Education, Limerick"
Part-time Enrolments to Third Level Courses (Number),0,0,0,198,143,0,89,106,140,113,150,135,110,117,153,146,169,141,"Mary Immaculate College of Education, Limerick"
Entrants to Third Level Courses (Number),0,0,0,549,647,0,693,670,681,735,692,661,735,674,724,807,825,857,"Mary Immaculate College of Education, Limerick"
Full-time Enrolments to Third Level Courses (Number),259,268,252,280,302,327,354,363,323,366,413,442,463,430,404,410,284,0,"Mater Dei Institute, Clonliffe Road, Dublin"
Part-time Enrolments to Third Level Courses (Number),23,56,131,132,143,187,177,123,128,302,304,284,192,203,177,147,114,0,"Mater Dei Institute, Clonliffe Road, Dublin"
Entrants to Third Level Courses (Number),66,68,62,67,84,84,89,167,83,102,112,109,119,89,75,93,0,0,"Mater Dei Institute, Clonliffe Road, Dublin"
Full-time Enrolments to Third Level Courses (Number),262,313,348,417,434,371,373,366,466,522,483,550,579,576,644,722,732,781,"Colaiste Mhuire, Marino, Dublin"
Part-time Enrolments to Third Level Courses (Number),0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,25,82,48,"Colaiste Mhuire, Marino, Dublin"
Entrants to Third Level Courses (Number),102,103,99,103,95,97,91,98,98,211,102,105,128,122,149,0,171,192,"Colaiste Mhuire, Marino, Dublin"
Full-time Enrolments to Third Level Courses (Number),92,89,85,90,93,91,92,93,160,97,149,176,0,119,119,124,0,0,"C.O.I. College of Education, Rathmines, Dublin"
Part-time Enrolments to Third Level Courses (Number),0,0,0,77,75,0,57,0,0,0,52,0,0,0,0,70,0,0,"C.O.I. College of Education, Rathmines, Dublin"
Entrants to Third Level Courses (Number),31,28,31,33,31,27,29,31,32,32,0,0,0,0,0,32,0,0,"C.O.I. College of Education, Rathmines, Dublin"
Full-time Enrolments to Third Level Courses (Number),180,196,211,253,252,214,240,262,339,339,311,261,126,0,0,0,0,0,"Froebel College, Blackrock, Co. Dublin"
Part-time Enrolments to Third Level Courses (Number),0,0,0,0,0,0,0,0,0,8,23,24,0,0,0,0,0,0,"Froebel College, Blackrock, Co. Dublin"
Entrants to Third Level Courses (Number),61,64,64,67,64,63,93,79,63,60,60,65,0,0,0,0,0,0,"Froebel College, Blackrock, Co. Dublin"
Full-time Enrolments to Third Level Courses (Number),289,262,279,299,290,337,439,447,524,495,448,436,441,471,598,624,643,680,"St. Angela's College, Lough Gill, Co. Sligo"
