"","county","year","CO_concentration_value","CO_AQI","NO2_concentration_value","NO2_AQI","O3_concentration_value","O3_AQI","PM2.5_concentration_value","PM2.5_AQI","PM10_concentration_value","PM10_AQI","lattitude","longitude","Age_Group","Strata","Strata_Name","Numerator","NumeratorTransformed"
"561","San Joaquin",2013,0.477077363896848,5.30372492836676,22.3729938271605,20.9382716049383,0.0397885245901639,38.6852459016393,13.3412675018423,47.373618275608,27.4550195567145,24.9426336375489,37.9507408985318,-121.268522670981,"Under 18","Sex","Female",627,6.44094654063292
"562","San Joaquin",2013,0.477077363896848,5.30372492836676,22.3729938271605,20.9382716049383,0.0397885245901639,38.6852459016393,13.3412675018423,47.373618275608,27.4550195567145,24.9426336375489,37.9507408985318,-121.268522670981,"18 and Over","Sex","Female",1835,7.51479976048867
"563","San Joaquin",2013,0.477077363896848,5.30372492836676,22.3729938271605,20.9382716049383,0.0397885245901639,38.6852459016393,13.3412675018423,47.373618275608,27.4550195567145,24.9426336375489,37.9507408985318,-121.268522670981,"All Ages","Sex","Male",2219,7.70481192293259
"564","San Joaquin",2013,0.477077363896848,5.30372492836676,22.3729938271605,20.9382716049383,0.0397885245901639,38.6852459016393,13.3412675018423,47.373618275608,27.4550195567145,24.9426336375489,37.9507408985318,-121.268522670981,"Under 18","Sex","Male",1064,6.96979066990159
"565","San Joaquin",2014,0.398611111111111,4.39166666666667,19.7742209631728,18.4348441926346,0.0436122159090909,44.2485795454545,10.11589958159,38.0258019525802,23.985824742268,21.9664948453608,37.9507408985318,-121.268522670981,"18 and Over","Sex","Female",1758,7.47193207824512
"566","San Joaquin",2014,0.398611111111111,4.39166666666667,19.7742209631728,18.4348441926346,0.0436122159090909,44.2485795454545,10.11589958159,38.0258019525802,23.985824742268,21.9664948453608,37.9507408985318,-121.268522670981,"Under 18","Sex","Female",638,6.45833828334479
"567","San Joaquin",2014,0.398611111111111,4.39166666666667,19.7742209631728,18.4348441926346,0.0436122159090909,44.2485795454545,10.11589958159,38.0258019525802,23.985824742268,21.9664948453608,37.9507408985318,-121.268522670981,"All Ages","Sex","Female",2396,7.78155595923534
"568","San Joaquin",2014,0.398611111111111,4.39166666666667,19.7742209631728,18.4348441926346,0.0436122159090909,44.2485795454545,10.11589958159,38.0258019525802,23.985824742268,21.9664948453608,37.9507408985318,-121.268522670981,"All Ages","Sex","Male",2196,7.69439280262942
"569","San Joaquin",2014,0.398611111111111,4.39166666666667,19.7742209631728,18.4348441926346,0.0436122159090909,44.2485795454545,10.11589958159,38.0258019525802,23.985824742268,21.9664948453608,37.9507408985318,-121.268522670981,"18 and Over","Sex","Male",1053,6.95939851213398
"570","San Joaquin",2014,0.398611111111111,4.39166666666667,19.7742209631728,18.4348441926346,0.0436122159090909,44.2485795454545,10.11589958159,38.0258019525802,23.985824742268,21.9664948453608,37.9507408985318,-121.268522670981,"Under 18","Sex","Male",1143,7.04141166379481
"571","San Joaquin",2015,0.384180790960452,4.25141242937853,18.8978260869565,17.5869565217391,0.0416732673267327,41.8147100424328,11.4005025125628,41.8844221105528,24.1441798941799,22.2473544973545,37.9507408985318,-121.268522670981,"All Ages","Sex","Male",2323,7.75061473277041
"572","San Joaquin",2015,0.384180790960452,4.25141242937853,18.8978260869565,17.5869565217391,0.0416732673267327,41.8147100424328,11.4005025125628,41.8844221105528,24.1441798941799,22.2473544973545,37.9507408985318,-121.268522670981,"Under 18","Sex","Female",681,6.52356230614951
"573","San Joaquin",2015,0.384180790960452,4.25141242937853,18.8978260869565,17.5869565217391,0.0416732673267327,41.8147100424328,11.4005025125628,41.8844221105528,24.1441798941799,22.2473544973545,37.9507408985318,-121.268522670981,"18 and Over","Sex","Male",1136,7.0352685992811
"574","San Joaquin",2015,0.384180790960452,4.25141242937853,18.8978260869565,17.5869565217391,0.0416732673267327,41.8147100424328,11.4005025125628,41.8844221105528,24.1441798941799,22.2473544973545,37.9507408985318,-121.268522670981,"Under 18","Sex","Male",1187,7.07918439460967
"575","San Joaquin",2015,0.384180790960452,4.25141242937853,18.8978260869565,17.5869565217391,0.0416732673267327,41.8147100424328,11.4005025125628,41.8844221105528,24.1441798941799,22.2473544973545,37.9507408985318,-121.268522670981,"18 and Over","Sex","Female",1798,7.49443021503157
"576","San Joaquin",2015,0.384180790960452,4.25141242937853,18.8978260869565,17.5869565217391,0.0416732673267327,41.8147100424328,11.4005025125628,41.8844221105528,24.1441798941799,22.2473544973545,37.9507408985318,-121.268522670981,"All Ages","Sex","Female",2479,7.81561053203519
